Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;TRANSPORTE PRIVADO;PRIVADO;11/1/2023;10:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;11/1/2023;15:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;11/1/2023;15:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;TRANSPORTE PRIVADO;PRIVADO;11/1/2023;17:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MONTUBIO/A;NO DETERMINADO;NO DETERMINADO;2023;enero;9;901
ASESINATO;EL ORO;ARENILLAS;RURAL;FINCA;PRIVADO;11/1/2023;3:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;7;505
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;11/1/2023;18:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;36;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;URBANO;CASA/VILLA;PRIVADO;12/1/2023;9:30;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;20;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;23;9003
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;11/1/2023;20:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
FEMICIDIO;LOS RIOS;VINCES;URBANO;OTROS LOCALES COMERCIALES;PRIVADO;12/1/2023;13:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;46;A;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;enero;12;1208
ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;12/1/2023;16:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;56;A;HOMBRE;MESTIZO/A;NO DETERMINADO;ECUADOR;2023;enero;13;1317
ASESINATO;MANABI;MANTA;URBANO;HOSPITALES;PRIVADO;12/1/2023;22:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA BLANCA;63;A;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;enero;13;1308
ASESINATO;MANABI;MANTA;URBANO;CANCHAS DE USO MULTIPLE;PUBLICO;12/1/2023;21:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA BLANCA;19;A;HOMBRE;MESTIZO/A;SOLTERO;VENEZUELA;2023;enero;13;1308
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;PATIOS DE COMIDAS;PRIVADO;12/1/2023;13:05;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;17;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;9;901
ASESINATO;LOS RIOS;QUEVEDO;URBANO;CASA/VILLA;PRIVADO;12/1/2023;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;12;1205
