subtipo_objeto_robado;nombre_objeto;fecha_evento;nombre_provincia;tipo_delito
ARMA DE FUEGO;CARTUCHERAS;15/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARABINAS;14/1/2023;SUCUMBIOS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;SUBAMETRALLADORA;15/1/2023;EL ORO;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;15/1/2023;LOS RIOS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;REVÓLVERES;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;REVÓLVERES;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;REVÓLVERES;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;ESCOPETA;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;ESCOPETA;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;ESCOPETA;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;OTROS;16/1/2023;BOLIVAR;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;OTROS ARMAS LARGAS;16/1/2023;BOLIVAR;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;OTROS ARMAS LARGAS;16/1/2023;BOLIVAR;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARTUCHERAS;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;CARTUCHERAS;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;RIFLES;15/1/2023;MANABI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA
ARMA DE FUEGO;PISTOLAS;16/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;OTROS;15/1/2023;CARCHI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARABINAS;16/1/2023;ORELLANA;DELITOS DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR
ARMA DE FUEGO;PISTOLAS;16/1/2023;MANABI;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;ESCOPETA;16/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;CARTUCHERAS;16/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;PISTOLAS;16/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;ESCOPETA;16/1/2023;GUAYAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;ESCOPETA;16/1/2023;IMBABURA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;REVÓLVERES;16/1/2023;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;16/1/2023;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;16/1/2023;GUAYAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARTUCHERAS;17/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;16/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMAS DE FOGUEO;PISTOLA;16/1/2023;EL ORO;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARTUCHERAS;17/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;ESCOPETA;17/1/2023;IMBABURA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;17/1/2023;IMBABURA;DELITO
ARMA DE FUEGO;CARTUCHERAS;17/1/2023;GUAYAS;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;PISTOLAS;17/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;17/1/2023;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;17/1/2023;DMQ;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
ARMA DE FUEGO;REVÓLVERES;17/1/2023;DMQ;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
ARMA DE FUEGO;REVÓLVERES;17/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;REVÓLVERES;17/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;CARTUCHERAS;18/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;PISTOLAS;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;ESCOPETA;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;CARABINAS;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;RIFLES;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;CARABINAS;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;CARABINAS;18/1/2023;AZUAY;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;PISTOLAS;17/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;OTROS;18/1/2023;EL ORO;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;PISTOLAS;18/1/2023;EL ORO;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;18/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;18/1/2023;DMG;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
ARMA DE FUEGO;PISTOLAS;18/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;PISTOLAS;18/1/2023;DMQ;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
ARMA DE FUEGO;FUSILES;18/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;19/1/2023;COTOPAXI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARTUCHERAS;19/1/2023;COTOPAXI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;SUBAMETRALLADORA;19/1/2023;COTOPAXI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;FUSILES;18/1/2023;PICHINCHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARTUCHERAS;19/1/2023;DMG;DELITOS CONTRA LA LIBERTAD PERSONAL
ARMA DE FUEGO;OTROS ARMAS LARGAS;19/1/2023;CAÑAR;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARABINAS;19/1/2023;AZUAY;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;ESCOPETA;19/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;REVÓLVERES;19/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;OTROS ARMAS CORTAS;19/1/2023;DMG;DELITOS CONTRA EL DERECHO A LA PROPIEDAD
ARMA DE FUEGO;CARTUCHERAS;19/1/2023;MANABI;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARTUCHERAS;19/1/2023;IMBABURA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;REVÓLVERES;19/1/2023;DMG;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;CARTUCHERAS;19/1/2023;SANTO DOMINGO DE LOS TSACHILAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;19/1/2023;SANTO DOMINGO DE LOS TSACHILAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;19/1/2023;SANTO DOMINGO DE LOS TSACHILAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;19/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;20/1/2023;SANTO DOMINGO DE LOS TSACHILAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
